model:model_1,training epoch [1/200],loss train: 0.00882, loss test  0.01012
model:model_1,training epoch [2/200],loss train: 0.00793, loss test  0.00928
model:model_1,training epoch [3/200],loss train: 0.00732, loss test  0.00865
model:model_1,training epoch [4/200],loss train: 0.00678, loss test  0.00821
model:model_1,training epoch [5/200],loss train: 0.00643, loss test  0.00771
model:model_1,training epoch [6/200],loss train: 0.00603, loss test  0.00741
model:model_1,training epoch [7/200],loss train: 0.00573, loss test  0.00719
model:model_1,training epoch [8/200],loss train: 0.00535, loss test  0.00680
model:model_1,training epoch [9/200],loss train: 0.00517, loss test  0.00661
model:model_1,training epoch [10/200],loss train: 0.00496, loss test  0.00640
model:model_1,training epoch [11/200],loss train: 0.00489, loss test  0.00625
model:model_1,training epoch [12/200],loss train: 0.00473, loss test  0.00616
model:model_1,training epoch [13/200],loss train: 0.00464, loss test  0.00603
model:model_1,training epoch [14/200],loss train: 0.00454, loss test  0.00603
model:model_1,training epoch [15/200],loss train: 0.00436, loss test  0.00585
model:model_1,training epoch [16/200],loss train: 0.00434, loss test  0.00579
model:model_1,training epoch [17/200],loss train: 0.00452, loss test  0.00590
model:model_1,training epoch [18/200],loss train: 0.00424, loss test  0.00563
model:model_1,training epoch [19/200],loss train: 0.00415, loss test  0.00555
model:model_1,training epoch [20/200],loss train: 0.00408, loss test  0.00562
model:model_1,training epoch [21/200],loss train: 0.00406, loss test  0.00548
model:model_1,training epoch [22/200],loss train: 0.00404, loss test  0.00546
model:model_1,training epoch [23/200],loss train: 0.00397, loss test  0.00545
model:model_1,training epoch [24/200],loss train: 0.00395, loss test  0.00544
model:model_1,training epoch [25/200],loss train: 0.00400, loss test  0.00535
model:model_1,training epoch [26/200],loss train: 0.00401, loss test  0.00547
model:model_1,training epoch [27/200],loss train: 0.00399, loss test  0.00552
model:model_1,training epoch [28/200],loss train: 0.00386, loss test  0.00535
model:model_1,training epoch [29/200],loss train: 0.00382, loss test  0.00533
model:model_1,training epoch [30/200],loss train: 0.00380, loss test  0.00536
model:model_1,training epoch [31/200],loss train: 0.00379, loss test  0.00536
model:model_1,training epoch [32/200],loss train: 0.00383, loss test  0.00527
model:model_1,training epoch [33/200],loss train: 0.00371, loss test  0.00546
model:model_1,training epoch [34/200],loss train: 0.00370, loss test  0.00542
model:model_1,training epoch [35/200],loss train: 0.00369, loss test  0.00534
model:model_1,training epoch [36/200],loss train: 0.00370, loss test  0.00529
model:model_1,training epoch [37/200],loss train: 0.00362, loss test  0.00527
model:model_1,training epoch [38/200],loss train: 0.00359, loss test  0.00538
model:model_1,training epoch [39/200],loss train: 0.00357, loss test  0.00528
model:model_1,training epoch [40/200],loss train: 0.00365, loss test  0.00536
model:model_1,training epoch [41/200],loss train: 0.00359, loss test  0.00538
model:model_1,training epoch [42/200],loss train: 0.00352, loss test  0.00530
model:model_1,training epoch [43/200],loss train: 0.00347, loss test  0.00530
model:model_1,training epoch [44/200],loss train: 0.00345, loss test  0.00522
model:model_1,training epoch [45/200],loss train: 0.00354, loss test  0.00536
model:model_1,training epoch [46/200],loss train: 0.00346, loss test  0.00531
model:model_1,training epoch [47/200],loss train: 0.00336, loss test  0.00524
model:model_1,training epoch [48/200],loss train: 0.00333, loss test  0.00523
model:model_1,training epoch [49/200],loss train: 0.00334, loss test  0.00525
model:model_1,training epoch [50/200],loss train: 0.00325, loss test  0.00522
model:model_1,training epoch [51/200],loss train: 0.00341, loss test  0.00546
model:model_1,training epoch [52/200],loss train: 0.00318, loss test  0.00518
model:model_1,training epoch [53/200],loss train: 0.00316, loss test  0.00545
model:model_1,training epoch [54/200],loss train: 0.00318, loss test  0.00534
model:model_1,training epoch [55/200],loss train: 0.00309, loss test  0.00535
model:model_1,training epoch [56/200],loss train: 0.00305, loss test  0.00555
model:model_1,training epoch [57/200],loss train: 0.00292, loss test  0.00527
model:model_1,training epoch [58/200],loss train: 0.00291, loss test  0.00539
model:model_1,training epoch [59/200],loss train: 0.00292, loss test  0.00554
model:model_1,training epoch [60/200],loss train: 0.00275, loss test  0.00541
model:model_1,training epoch [61/200],loss train: 0.00274, loss test  0.00548
model:model_1,training epoch [62/200],loss train: 0.00289, loss test  0.00597
model:model_1,training epoch [63/200],loss train: 0.00250, loss test  0.00539
model:model_1,training epoch [64/200],loss train: 0.00254, loss test  0.00564
model:model_1,training epoch [65/200],loss train: 0.00242, loss test  0.00552
model:model_1,training epoch [66/200],loss train: 0.00237, loss test  0.00568
model:model_1,training epoch [67/200],loss train: 0.00231, loss test  0.00569
model:model_1,training epoch [68/200],loss train: 0.00213, loss test  0.00527
model:model_1,training epoch [69/200],loss train: 0.00218, loss test  0.00576
model:model_1,training epoch [70/200],loss train: 0.00201, loss test  0.00546
model:model_1,training epoch [71/200],loss train: 0.00188, loss test  0.00567
model:model_1,training epoch [72/200],loss train: 0.00182, loss test  0.00556
model:model_1,training epoch [73/200],loss train: 0.00185, loss test  0.00567
model:model_1,training epoch [74/200],loss train: 0.00169, loss test  0.00557
model:model_1,training epoch [75/200],loss train: 0.00175, loss test  0.00570
model:model_1,training epoch [76/200],loss train: 0.00156, loss test  0.00573
model:model_1,training epoch [77/200],loss train: 0.00157, loss test  0.00555
model:model_1,training epoch [78/200],loss train: 0.00141, loss test  0.00548
model:model_1,training epoch [79/200],loss train: 0.00139, loss test  0.00565
model:model_1,training epoch [80/200],loss train: 0.00149, loss test  0.00568
model:model_1,training epoch [81/200],loss train: 0.00127, loss test  0.00556
model:model_1,training epoch [82/200],loss train: 0.00134, loss test  0.00557
model:model_1,training epoch [83/200],loss train: 0.00141, loss test  0.00598
model:model_1,training epoch [84/200],loss train: 0.00124, loss test  0.00548
model:model_1,training epoch [85/200],loss train: 0.00119, loss test  0.00569
